item,desc_item,localizacion,categoria,fecha,documento,registro,cp,entradas,salidas,unitario,total,cantidad,cost_center,lote
P000030,Producto Performance 30,ALM-5,GRUPO-6,2026-03-04,EA-DOC010000030,30,CP,40.887,0.0,13834.32,565643.84,40.887,CC-2,LOT-010
P000031,Producto Performance 31,ALM-1,GRUPO-7,2026-03-05,SA-DOC010000031,31,CP,0.0,35.718,12428.77,-443930.81,-35.718,CC-3,LOT-011
P000032,Producto Performance 32,ALM-2,GRUPO-8,2026-03-06,EA-DOC010000032,32,CP,28.741,0.0,13127.48,377296.9,28.741,CC-4,LOT-012
P000033,Producto Performance 33,ALM-3,GRUPO-1,2026-03-07,EA-DOC010000033,33,CP,26.594,0.0,13629.69,362467.98,26.594,CC-1,LOT-013
P000034,Producto Performance 34,ALM-4,GRUPO-2,2026-03-08,SA-DOC010000034,34,CP,0.0,59.538,14225.23,-846941.74,-59.538,CC-2,LOT-014
P000035,Producto Performance 35,ALM-5,GRUPO-3,2026-03-09,EA-DOC010000035,35,CP,26.67,0.0,4840.75,129102.8,26.67,CC-3,LOT-015
P000036,Producto Performance 36,ALM-1,GRUPO-4,2026-03-10,EA-DOC010000036,36,CP,42.21,0.0,9443.04,398590.72,42.21,CC-4,LOT-016
P000037,Producto Performance 37,ALM-2,GRUPO-5,2026-03-11,SA-DOC010000037,37,CP,0.0,15.747,13114.37,-206511.98,-15.747,CC-1,LOT-017
P000038,Producto Performance 38,ALM-3,GRUPO-6,2026-03-12,EA-DOC010000038,38,CP,56.38,0.0,2090.93,117886.63,56.38,CC-2,LOT-018
P000039,Producto Performance 39,ALM-4,GRUPO-7,2026-03-13,EA-DOC010000039,39,CP,48.947,0.0,11917.6,583330.77,48.947,CC-3,LOT-019
P000040,Producto Performance 40,ALM-5,GRUPO-8,2026-03-14,SA-DOC010000040,40,CP,0.0,11.885,5755.38,-68402.69,-11.885,CC-4,LOT-020
P000041,Producto Performance 41,ALM-1,GRUPO-1,2026-03-15,EA-DOC010000041,41,CP,32.719,0.0,5610.54,183571.26,32.719,CC-1,LOT-001
P000042,Producto Performance 42,ALM-2,GRUPO-2,2026-03-16,EA-DOC010000042,42,CP,51.775,0.0,4024.39,208362.79,51.775,CC-2,LOT-002
P000043,Producto Performance 43,ALM-3,GRUPO-3,2026-03-17,SA-DOC010000043,43,CP,0.0,13.154,13847.29,-182147.25,-13.154,CC-3,LOT-003
P000044,Producto Performance 44,ALM-4,GRUPO-4,2026-03-18,EA-DOC010000044,44,CP,31.462,0.0,6022.54,189481.15,31.462,CC-4,LOT-004
P000045,Producto Performance 45,ALM-5,GRUPO-5,2026-03-19,EA-DOC010000045,45,CP,25.512,0.0,10158.65,259167.48,25.512,CC-1,LOT-005
P000046,Producto Performance 46,ALM-1,GRUPO-6,2026-03-20,SA-DOC010000046,46,CP,0.0,15.494,6971.55,-108017.2,-15.494,CC-2,LOT-006
P000047,Producto Performance 47,ALM-2,GRUPO-7,2026-03-21,EA-DOC010000047,47,CP,36.575,0.0,11487.03,420138.12,36.575,CC-3,LOT-007
P000048,Producto Performance 48,ALM-3,GRUPO-8,2026-03-22,EA-DOC010000048,48,CP,3.764,0.0,9007.16,33902.95,3.764,CC-4,LOT-008
P000049,Producto Performance 49,ALM-4,GRUPO-1,2026-03-23,SA-DOC010000049,49,CP,0.0,6.438,2190.14,-14100.12,-6.438,CC-1,LOT-009
P000050,Producto Performance 50,ALM-5,GRUPO-2,2026-03-24,EA-DOC010000050,50,CP,7.332,0.0,8142.86,59703.45,7.332,CC-2,LOT-010
P000051,Producto Performance 51,ALM-1,GRUPO-3,2026-03-25,EA-DOC010000051,51,CP,37.59,0.0,5077.1,190848.19,37.59,CC-3,LOT-011
P000052,Producto Performance 52,ALM-2,GRUPO-4,2026-03-26,SA-DOC010000052,52,CP,0.0,54.315,2600.81,-141263.0,-54.315,CC-4,LOT-012
P000053,Producto Performance 53,ALM-3,GRUPO-5,2026-03-27,EA-DOC010000053,53,CP,21.324,0.0,1692.03,36080.85,21.324,CC-1,LOT-013
P000054,Producto Performance 54,ALM-4,GRUPO-6,2026-03-28,EA-DOC010000054,54,CP,32.806,0.0,4697.02,154090.44,32.806,CC-2,LOT-014
P000055,Producto Performance 55,ALM-5,GRUPO-7,2026-03-29,SA-DOC010000055,55,CP,0.0,29.771,4910.63,-146194.37,-29.771,CC-3,LOT-015
P000056,Producto Performance 56,ALM-1,GRUPO-8,2026-03-30,EA-DOC010000056,56,CP,5.005,0.0,14310.96,71626.35,5.005,CC-4,LOT-016
P000057,Producto Performance 57,ALM-2,GRUPO-1,2026-03-03,EA-DOC010000057,57,CP,0.126,0.0,6395.53,805.84,0.126,CC-1,LOT-017
P000058,Producto Performance 58,ALM-3,GRUPO-2,2026-03-04,SA-DOC010000058,58,CP,0.0,49.117,14499.0,-712147.38,-49.117,CC-2,LOT-018
P000059,Producto Performance 59,ALM-4,GRUPO-3,2026-03-05,EA-DOC010000059,59,CP,52.118,0.0,13709.53,714513.28,52.118,CC-3,LOT-019
P000060,Producto Performance 60,ALM-5,GRUPO-4,2026-03-06,EA-DOC010000060,60,CP,5.311,0.0,2087.83,11088.47,5.311,CC-4,LOT-020
P000061,Producto Performance 61,ALM-1,GRUPO-5,2026-03-07,SA-DOC010000061,61,CP,0.0,59.75,3708.71,-221595.42,-59.75,CC-1,LOT-001
P000062,Producto Performance 62,ALM-2,GRUPO-6,2026-03-08,EA-DOC010000062,62,CP,17.922,0.0,9369.63,167922.51,17.922,CC-2,LOT-002
P000063,Producto Performance 63,ALM-3,GRUPO-7,2026-03-09,EA-DOC010000063,63,CP,39.293,0.0,9663.4,379703.98,39.293,CC-3,LOT-003
P000064,Producto Performance 64,ALM-4,GRUPO-8,2026-03-10,SA-DOC010000064,64,CP,0.0,55.806,10980.43,-612773.88,-55.806,CC-4,LOT-004
P000065,Producto Performance 65,ALM-5,GRUPO-1,2026-03-11,EA-DOC010000065,65,CP,41.836,0.0,7333.33,306797.19,41.836,CC-1,LOT-005
P000066,Producto Performance 66,ALM-1,GRUPO-2,2026-03-12,EA-DOC010000066,66,CP,19.588,0.0,7233.2,141683.92,19.588,CC-2,LOT-006
P000067,Producto Performance 67,ALM-2,GRUPO-3,2026-03-13,SA-DOC010000067,67,CP,0.0,53.636,9121.79,-489256.33,-53.636,CC-3,LOT-007
P000068,Producto Performance 68,ALM-3,GRUPO-4,2026-03-14,EA-DOC010000068,68,CP,44.446,0.0,8277.52,367902.65,44.446,CC-4,LOT-008
P000069,Producto Performance 69,ALM-4,GRUPO-5,2026-03-15,EA-DOC010000069,69,CP,33.23,0.0,12759.32,423992.2,33.23,CC-1,LOT-009
P000070,Producto Performance 70,ALM-5,GRUPO-6,2026-03-16,SA-DOC010000070,70,CP,0.0,49.904,7116.15,-355124.35,-49.904,CC-2,LOT-010
P000071,Producto Performance 71,ALM-1,GRUPO-7,2026-03-17,EA-DOC010000071,71,CP,26.193,0.0,5402.26,141501.4,26.193,CC-3,LOT-011
P000072,Producto Performance 72,ALM-2,GRUPO-8,2026-03-18,EA-DOC010000072,72,CP,41.633,0.0,3248.83,135258.54,41.633,CC-4,LOT-012
P000073,Producto Performance 73,ALM-3,GRUPO-1,2026-03-19,SA-DOC010000073,73,CP,0.0,32.204,10618.38,-341954.31,-32.204,CC-1,LOT-013
P000074,Producto Performance 74,ALM-4,GRUPO-2,2026-03-20,EA-DOC010000074,74,CP,16.305,0.0,9668.87,157650.93,16.305,CC-2,LOT-014
P000075,Producto Performance 75,ALM-5,GRUPO-3,2026-03-21,EA-DOC010000075,75,CP,55.635,0.0,4945.1,275120.64,55.635,CC-3,LOT-015
P000076,Producto Performance 76,ALM-1,GRUPO-4,2026-03-22,SA-DOC010000076,76,CP,0.0,33.324,7747.45,-258176.02,-33.324,CC-4,LOT-016
P000077,Producto Performance 77,ALM-2,GRUPO-5,2026-03-23,EA-DOC010000077,77,CP,22.442,0.0,6468.02,145155.3,22.442,CC-1,LOT-017
P000078,Producto Performance 78,ALM-3,GRUPO-6,2026-03-24,EA-DOC010000078,78,CP,12.009,0.0,10673.1,128173.26,12.009,CC-2,LOT-018
P000079,Producto Performance 79,ALM-4,GRUPO-7,2026-03-25,SA-DOC010000079,79,CP,0.0,22.381,13532.18,-302863.72,-22.381,CC-3,LOT-019
P000080,Producto Performance 80,ALM-5,GRUPO-8,2026-03-26,EA-DOC010000080,80,CP,17.91,0.0,5940.92,106401.88,17.91,CC-4,LOT-020
P000081,Producto Performance 81,ALM-1,GRUPO-1,2026-03-27,EA-DOC010000081,81,CP,25.857,0.0,6576.96,170060.45,25.857,CC-1,LOT-001
P000082,Producto Performance 82,ALM-2,GRUPO-2,2026-03-28,SA-DOC010000082,82,CP,0.0,30.613,3341.9,-102305.58,-30.613,CC-2,LOT-002
P000083,Producto Performance 83,ALM-3,GRUPO-3,2026-03-29,EA-DOC010000083,83,CP,23.769,0.0,2025.67,48148.15,23.769,CC-3,LOT-003
P000084,Producto Performance 84,ALM-4,GRUPO-4,2026-03-30,EA-DOC010000084,84,CP,37.975,0.0,5353.15,203285.87,37.975,CC-4,LOT-004
P000085,Producto Performance 85,ALM-5,GRUPO-5,2026-03-03,SA-DOC010000085,85,CP,0.0,2.282,10349.59,-23617.76,-2.282,CC-1,LOT-005
P000086,Producto Performance 86,ALM-1,GRUPO-6,2026-03-04,EA-DOC010000086,86,CP,27.749,0.0,12213.08,338900.76,27.749,CC-2,LOT-006
P000087,Producto Performance 87,ALM-2,GRUPO-7,2026-03-05,EA-DOC010000087,87,CP,58.114,0.0,11019.74,640401.17,58.114,CC-3,LOT-007
P000088,Producto Performance 88,ALM-3,GRUPO-8,2026-03-06,SA-DOC010000088,88,CP,0.0,5.371,2405.11,-12917.85,-5.371,CC-4,LOT-008
P000089,Producto Performance 89,ALM-4,GRUPO-1,2026-03-07,EA-DOC010000089,89,CP,33.095,0.0,5235.49,173268.54,33.095,CC-1,LOT-009
P000090,Producto Performance 90,ALM-5,GRUPO-2,2026-03-08,EA-DOC010000090,90,CP,40.348,0.0,6299.04,254153.67,40.348,CC-2,LOT-010
P000091,Producto Performance 91,ALM-1,GRUPO-3,2026-03-09,SA-DOC010000091,91,CP,0.0,20.025,7933.09,-158860.13,-20.025,CC-3,LOT-011
P000092,Producto Performance 92,ALM-2,GRUPO-4,2026-03-10,EA-DOC010000092,92,CP,35.805,0.0,4312.64,154414.08,35.805,CC-4,LOT-012
P000093,Producto Performance 93,ALM-3,GRUPO-5,2026-03-11,EA-DOC010000093,93,CP,0.885,0.0,5328.96,4716.13,0.885,CC-1,LOT-013
P000094,Producto Performance 94,ALM-4,GRUPO-6,2026-03-12,SA-DOC010000094,94,CP,0.0,15.19,7428.9,-112844.99,-15.19,CC-2,LOT-014
P000095,Producto Performance 95,ALM-5,GRUPO-7,2026-03-13,EA-DOC010000095,95,CP,37.011,0.0,14426.07,533923.28,37.011,CC-3,LOT-015
P000096,Producto Performance 96,ALM-1,GRUPO-8,2026-03-14,EA-DOC010000096,96,CP,29.693,0.0,7816.6,232098.3,29.693,CC-4,LOT-016
P000097,Producto Performance 97,ALM-2,GRUPO-1,2026-03-15,SA-DOC010000097,97,CP,0.0,32.663,2547.49,-83208.67,-32.663,CC-1,LOT-017
P000098,Producto Performance 98,ALM-3,GRUPO-2,2026-03-16,EA-DOC010000098,98,CP,49.299,0.0,14317.87,705856.67,49.299,CC-2,LOT-018
P000099,Producto Performance 99,ALM-4,GRUPO-3,2026-03-17,EA-DOC010000099,99,CP,25.392,0.0,9954.95,252776.09,25.392,CC-3,LOT-019
P000100,Producto Performance 100,ALM-5,GRUPO-4,2026-03-18,SA-DOC010000100,100,CP,0.0,44.588,5164.34,-230267.59,-44.588,CC-4,LOT-020
P000101,Producto Performance 101,ALM-1,GRUPO-5,2026-03-19,EA-DOC010000101,101,CP,10.161,0.0,14003.92,142293.83,10.161,CC-1,LOT-001
P000102,Producto Performance 102,ALM-2,GRUPO-6,2026-03-20,EA-DOC010000102,102,CP,37.628,0.0,14707.98,553431.87,37.628,CC-2,LOT-002
P000103,Producto Performance 103,ALM-3,GRUPO-7,2026-03-21,SA-DOC010000103,103,CP,0.0,21.761,11733.64,-255335.74,-21.761,CC-3,LOT-003
P000104,Producto Performance 104,ALM-4,GRUPO-8,2026-03-22,EA-DOC010000104,104,CP,51.643,0.0,7061.15,364658.97,51.643,CC-4,LOT-004
P000105,Producto Performance 105,ALM-5,GRUPO-1,2026-03-23,EA-DOC010000105,105,CP,10.17,0.0,6867.76,69845.12,10.17,CC-1,LOT-005
P000106,Producto Performance 106,ALM-1,GRUPO-2,2026-03-24,SA-DOC010000106,106,CP,0.0,47.573,4662.44,-221806.26,-47.573,CC-2,LOT-006
P000107,Producto Performance 107,ALM-2,GRUPO-3,2026-03-25,EA-DOC010000107,107,CP,56.38,0.0,11898.39,670831.23,56.38,CC-3,LOT-007
P000108,Producto Performance 108,ALM-3,GRUPO-4,2026-03-26,EA-DOC010000108,108,CP,2.375,0.0,8958.83,21277.22,2.375,CC-4,LOT-008
P000109,Producto Performance 109,ALM-4,GRUPO-5,2026-03-27,SA-DOC010000109,109,CP,0.0,14.69,7960.81,-116944.3,-14.69,CC-1,LOT-009
P000110,Producto Performance 110,ALM-5,GRUPO-6,2026-03-28,EA-DOC010000110,110,CP,38.382,0.0,9649.04,370349.45,38.382,CC-2,LOT-010
P000111,Producto Performance 111,ALM-1,GRUPO-7,2026-03-29,EA-DOC010000111,111,CP,16.569,0.0,10092.89,167229.09,16.569,CC-3,LOT-011
P000112,Producto Performance 112,ALM-2,GRUPO-8,2026-03-30,SA-DOC010000112,112,CP,0.0,20.724,6872.36,-142422.79,-20.724,CC-4,LOT-012
P000113,Producto Performance 113,ALM-3,GRUPO-1,2026-03-03,EA-DOC010000113,113,CP,51.432,0.0,13109.74,674260.15,51.432,CC-1,LOT-013
P000114,Producto Performance 114,ALM-4,GRUPO-2,2026-03-04,EA-DOC010000114,114,CP,2.946,0.0,7818.77,23034.1,2.946,CC-2,LOT-014
P000115,Producto Performance 115,ALM-5,GRUPO-3,2026-03-05,SA-DOC010000115,115,CP,0.0,21.812,9722.68,-212071.1,-21.812,CC-3,LOT-015
P000116,Producto Performance 116,ALM-1,GRUPO-4,2026-03-06,EA-DOC010000116,116,CP,52.422,0.0,11396.55,597429.94,52.422,CC-4,LOT-016
P000117,Producto Performance 117,ALM-2,GRUPO-5,2026-03-07,EA-DOC010000117,117,CP,23.566,0.0,13688.63,322586.25,23.566,CC-1,LOT-017
P000118,Producto Performance 118,ALM-3,GRUPO-6,2026-03-08,SA-DOC010000118,118,CP,0.0,52.026,9290.46,-483345.47,-52.026,CC-2,LOT-018
P000119,Producto Performance 119,ALM-4,GRUPO-7,2026-03-09,EA-DOC010000119,119,CP,49.45,0.0,2091.5,103424.68,49.45,CC-3,LOT-019
P000120,Producto Performance 120,ALM-5,GRUPO-8,2026-03-10,EA-DOC010000120,120,CP,2.959,0.0,8765.55,25937.26,2.959,CC-4,LOT-020
P000121,Producto Performance 121,ALM-1,GRUPO-1,2026-03-11,SA-DOC010000121,121,CP,0.0,33.157,11793.52,-391037.74,-33.157,CC-1,LOT-001
P000122,Producto Performance 122,ALM-2,GRUPO-2,2026-03-12,EA-DOC010000122,122,CP,29.458,0.0,11749.08,346104.4,29.458,CC-2,LOT-002
P000123,Producto Performance 123,ALM-3,GRUPO-3,2026-03-13,EA-DOC010000123,123,CP,31.309,0.0,9476.01,296684.4,31.309,CC-3,LOT-003
P000124,Producto Performance 124,ALM-4,GRUPO-4,2026-03-14,SA-DOC010000124,124,CP,0.0,56.326,14037.11,-790654.26,-56.326,CC-4,LOT-004
P000125,Producto Performance 125,ALM-5,GRUPO-5,2026-03-15,EA-DOC010000125,125,CP,57.144,0.0,1987.32,113563.41,57.144,CC-1,LOT-005
P000126,Producto Performance 126,ALM-1,GRUPO-6,2026-03-16,EA-DOC010000126,126,CP,2.934,0.0,13986.28,41035.75,2.934,CC-2,LOT-006
P000127,Producto Performance 127,ALM-2,GRUPO-7,2026-03-17,SA-DOC010000127,127,CP,0.0,19.513,8940.78,-174461.44,-19.513,CC-3,LOT-007
P000128,Producto Performance 128,ALM-3,GRUPO-8,2026-03-18,EA-DOC010000128,128,CP,49.972,0.0,6151.09,307382.27,49.972,CC-4,LOT-008
P000129,Producto Performance 129,ALM-4,GRUPO-1,2026-03-19,EA-DOC010000129,129,CP,15.543,0.0,3416.49,53102.5,15.543,CC-1,LOT-009
P000130,Producto Performance 130,ALM-5,GRUPO-2,2026-03-20,SA-DOC010000130,130,CP,0.0,34.404,2199.34,-75666.09,-34.404,CC-2,LOT-010
P000131,Producto Performance 131,ALM-1,GRUPO-3,2026-03-21,EA-DOC010000131,131,CP,34.159,0.0,14088.44,481247.02,34.159,CC-3,LOT-011
P000132,Producto Performance 132,ALM-2,GRUPO-4,2026-03-22,EA-DOC010000132,132,CP,17.259,0.0,8863.24,152970.66,17.259,CC-4,LOT-012
P000133,Producto Performance 133,ALM-3,GRUPO-5,2026-03-23,SA-DOC010000133,133,CP,0.0,6.753,14075.81,-95053.94,-6.753,CC-1,LOT-013
P000134,Producto Performance 134,ALM-4,GRUPO-6,2026-03-24,EA-DOC010000134,134,CP,59.425,0.0,13883.52,825028.18,59.425,CC-2,LOT-014
P000135,Producto Performance 135,ALM-5,GRUPO-7,2026-03-25,EA-DOC010000135,135,CP,31.534,0.0,8966.56,282751.5,31.534,CC-3,LOT-015
P000136,Producto Performance 136,ALM-1,GRUPO-8,2026-03-26,SA-DOC010000136,136,CP,0.0,40.906,4141.24,-169401.56,-40.906,CC-4,LOT-016
P000137,Producto Performance 137,ALM-2,GRUPO-1,2026-03-27,EA-DOC010000137,137,CP,14.802,0.0,7407.12,109640.19,14.802,CC-1,LOT-017
P000138,Producto Performance 138,ALM-3,GRUPO-2,2026-03-28,EA-DOC010000138,138,CP,43.081,0.0,14430.9,621697.6,43.081,CC-2,LOT-018
P000139,Producto Performance 139,ALM-4,GRUPO-3,2026-03-29,SA-DOC010000139,139,CP,0.0,36.256,1742.72,-63184.06,-36.256,CC-3,LOT-019
P000140,Producto Performance 140,ALM-5,GRUPO-4,2026-03-30,EA-DOC010000140,140,CP,50.387,0.0,8256.79,416034.88,50.387,CC-4,LOT-020
P000141,Producto Performance 141,ALM-1,GRUPO-5,2026-03-03,EA-DOC010000141,141,CP,26.155,0.0,10143.73,265309.26,26.155,CC-1,LOT-001
P000142,Producto Performance 142,ALM-2,GRUPO-6,2026-03-04,SA-DOC010000142,142,CP,0.0,36.183,11183.07,-404637.02,-36.183,CC-2,LOT-002
P000143,Producto Performance 143,ALM-3,GRUPO-7,2026-03-05,EA-DOC010000143,143,CP,0.456,0.0,4160.8,1897.32,0.456,CC-3,LOT-003
P000144,Producto Performance 144,ALM-4,GRUPO-8,2026-03-06,EA-DOC010000144,144,CP,47.798,0.0,5090.58,243319.54,47.798,CC-4,LOT-004
P000145,Producto Performance 145,ALM-5,GRUPO-1,2026-03-07,SA-DOC010000145,145,CP,0.0,43.247,10567.38,-457007.48,-43.247,CC-1,LOT-005
P000146,Producto Performance 146,ALM-1,GRUPO-2,2026-03-08,EA-DOC010000146,146,CP,23.981,0.0,7413.26,177777.39,23.981,CC-2,LOT-006
P000147,Producto Performance 147,ALM-2,GRUPO-3,2026-03-09,EA-DOC010000147,147,CP,22.593,0.0,10045.74,226963.4,22.593,CC-3,LOT-007
P000148,Producto Performance 148,ALM-3,GRUPO-4,2026-03-10,SA-DOC010000148,148,CP,0.0,26.668,3879.95,-103470.51,-26.668,CC-4,LOT-008
P000149,Producto Performance 149,ALM-4,GRUPO-5,2026-03-11,EA-DOC010000149,149,CP,45.566,0.0,6593.52,300440.33,45.566,CC-1,LOT-009
P000150,Producto Performance 150,ALM-5,GRUPO-6,2026-03-12,EA-DOC010000150,150,CP,2.091,0.0,5670.79,11857.62,2.091,CC-2,LOT-010
P000151,Producto Performance 151,ALM-1,GRUPO-7,2026-03-13,SA-DOC010000151,151,CP,0.0,19.09,1547.08,-29533.76,-19.09,CC-3,LOT-011
P000152,Producto Performance 152,ALM-2,GRUPO-8,2026-03-14,EA-DOC010000152,152,CP,31.514,0.0,14410.61,454135.96,31.514,CC-4,LOT-012
P000153,Producto Performance 153,ALM-3,GRUPO-1,2026-03-15,EA-DOC010000153,153,CP,48.922,0.0,4023.74,196849.41,48.922,CC-1,LOT-013
P000154,Producto Performance 154,ALM-4,GRUPO-2,2026-03-16,SA-DOC010000154,154,CP,0.0,38.594,8229.92,-317625.53,-38.594,CC-2,LOT-014
P000155,Producto Performance 155,ALM-5,GRUPO-3,2026-03-17,EA-DOC010000155,155,CP,21.426,0.0,8786.2,188253.12,21.426,CC-3,LOT-015
P000156,Producto Performance 156,ALM-1,GRUPO-4,2026-03-18,EA-DOC010000156,156,CP,36.405,0.0,13128.46,477941.59,36.405,CC-4,LOT-016
P000157,Producto Performance 157,ALM-2,GRUPO-5,2026-03-19,SA-DOC010000157,157,CP,0.0,10.923,2671.24,-29177.95,-10.923,CC-1,LOT-017
P000158,Producto Performance 158,ALM-3,GRUPO-6,2026-03-20,EA-DOC010000158,158,CP,53.207,0.0,7688.18,409064.99,53.207,CC-2,LOT-018
P000159,Producto Performance 159,ALM-4,GRUPO-7,2026-03-21,EA-DOC010000159,159,CP,8.496,0.0,9692.28,82345.61,8.496,CC-3,LOT-019
P000160,Producto Performance 160,ALM-5,GRUPO-8,2026-03-22,SA-DOC010000160,160,CP,0.0,57.449,11579.71,-665242.76,-57.449,CC-4,LOT-020
P000161,Producto Performance 161,ALM-1,GRUPO-1,2026-03-23,EA-DOC010000161,161,CP,14.221,0.0,14414.15,204983.63,14.221,CC-1,LOT-001
P000162,Producto Performance 162,ALM-2,GRUPO-2,2026-03-24,EA-DOC010000162,162,CP,23.615,0.0,11828.84,279338.06,23.615,CC-2,LOT-002
P000163,Producto Performance 163,ALM-3,GRUPO-3,2026-03-25,SA-DOC010000163,163,CP,0.0,1.681,14557.43,-24471.04,-1.681,CC-3,LOT-003
P000164,Producto Performance 164,ALM-4,GRUPO-4,2026-03-26,EA-DOC010000164,164,CP,53.303,0.0,7889.17,420516.43,53.303,CC-4,LOT-004
P000165,Producto Performance 165,ALM-5,GRUPO-5,2026-03-27,EA-DOC010000165,165,CP,20.161,0.0,7932.43,159925.72,20.161,CC-1,LOT-005
P000166,Producto Performance 166,ALM-1,GRUPO-6,2026-03-28,SA-DOC010000166,166,CP,0.0,21.479,10405.61,-223502.1,-21.479,CC-2,LOT-006
P000167,Producto Performance 167,ALM-2,GRUPO-7,2026-03-29,EA-DOC010000167,167,CP,17.783,0.0,12598.98,224047.66,17.783,CC-3,LOT-007
P000168,Producto Performance 168,ALM-3,GRUPO-8,2026-03-30,EA-DOC010000168,168,CP,11.175,0.0,8052.23,89983.67,11.175,CC-4,LOT-008
